1,"Amsterdam",9,174,63,4,2,8,11,16,17,29,0,97,2
2,"Belgrade",8,414,236,2,2,12,13,47,54,0,0,0,0
3,"Berlin",2,327,70,10,2,15,26,45,56,0,0,0,0
4,"Bern",8,230,180,2,0,30,34,36,50,0,0,0,0
5,"Birm'gham",3,75,30,5,1,28,29,10,0,0,0,0,0
6,"Bologna",7,328,239,2,2,18,34,54,0,0,0,0,0
7,"Bordeaux",4,46,200,3,2,51,52,0,0,0,0,91,0
8,"Bremen",2,204,46,3,2,1,17,21,22,0,0,1,0
9,"Brest",4,25,107,3,2,43,0,0,0,0,0,91,2
10,"Bristol",3,69,50,3,1,5,14,46,0,0,0,99,0
11,"Brussels",10,154,88,3,2,1,27,46,0,0,0,91,2
12,"Bucharest",8,492,279,2,2,2,0,0,0,0,0,0,0
13,"Budapest",8,398,179,3,2,2,41,54,55,0,0,0,0
14,"Cherbourg",4,70,95,1,2,10,43,0,0,0,0,97,2
15,"Dresden",2,310,110,4,2,3,19,26,41,0,0,0,0
16,"Dusldorf",2,188,86,2,2,1,17,22,24,0,0,0,0
17,"Essen",2,200,67,4,2,1,8,16,0,0,0,0,0
18,"Florence",7,317,259,3,2,6,20,44,0,0,0,0,0
19,"Frankfurt",2,236,123,4,2,15,22,24,50,0,0,0,0
20,"Genoa",7,270,245,2,2,18,34,39,0,0,0,93,0
21,"Hamburg",2,251,45,5,2,8,22,23,45,0,0,0,0
22,"Hannover",2,240,74,2,2,8,16,19,21,24,26,0,0
23,"Kiel",2,240,23,3,2,21,0,0,0,0,0,91,1
24,"Koln",2,210,110,2,2,16,19,22,27,33,0,0,0
25,"Krakow",5,430,125,2,2,41,56,0,0,0,0,0,0
26,"Leipzig",2,289,90,3,2,3,15,22,0,0,0,0,0
27,"Liege",4,170,115,2,2,11,24,42,0,0,0,0,1
28,"Liverpool",3,50,19,3,1,5,0,0,0,0,0,91,0
29,"London",3,100,25,10,1,1,5,0,0,0,0,98,0
30,"Lyon",4,160,206,3,0,4,32,40,0,0,0,0,0
31,"Madrid",8,25,330,3,0,51,0,0,0,0,0,0,0
32,"Marslles",4,185,270,5,0,30,39,51,0,0,0,92,0
33,"Metz",4,176,145,3,2,24,42,50,0,0,0,0,1
34,"Milan",7,256,215,4,2,4,6,20,39,0,0,0,0
35,"Minsk",6,513,40,4,2,56,0,0,0,0,0,0,0
36,"Munich",2,280,163,1,2,4,50,55,0,0,0,0,0
37,"Nantes",4,46,152,2,2,43,52,0,0,0,0,91,0
38,"Naples",7,362,348,3,2,44,49,0,0,0,0,98,0
39,"Nice",4,218,275,3,0,20,32,34,48,0,0,99,0
40,"Paris",4,111,127,10,2,30,42,46,43,52,0,0,0
41,"Prague",2,364,130,3,2,13,15,25,55,0,0,0,0
42,"Reims",4,144,126,3,2,27,33,40,0,0,0,0,2
43,"Rennes",4,64,133,2,2,9,14,37,40,52,0,0,0
44,"Rome",7,320,305,10,2,18,38,0,0,0,0,92,0
45,"Rostock",2,310,40,3,2,3,21,56,0,0,0,91,0
46,"Rouen",4,100,96,3,2,10,11,40,0,0,0,97,2
47,"Sarajevo",8,428,280,1,2,2,0,0,0,0,0,0,0
48,"Sardinia",7,265,355,2,2,39,53,0,0,0,0,98,0
49,"Sicily",7,295,412,2,2,38,53,0,0,0,0,97,0
50,"Stuttgrt",2,225,143,1,2,4,19,33,36,0,0,0,0
51,"Tolouse",4,95,253,3,0,7,31,32,0,0,0,0,0
52,"Tours",4,88,160,2,2,7,37,40,43,0,0,0,0
53,"Tunis",8,210,421,2,0,48,49,0,0,0,0,97,0
54,"Venice",7,358,227,3,2,2,6,13,55,0,0,92,0
55,"Vienna",2,330,160,4,2,13,36,41,54,0,0,0,0
56,"Warsaw",5,449,75,3,2,3,25,35,45,0,0,0,0
57,"[USA]",1,21,75,75,1,10,28,0,0,0,0,0,0
58,"[RUSSIA]",6,500,80,50,1,35,0,0,0,0,0,0,0
